11222,n,Start,9,"Colin Kaepernick"
11223,n,Start,9,"Drew Brees"
11224,n,Start,9,"Ben Roethlisberger"
11225,n,Start,9,"Russell Wilson"
11226,n,Sit,9,"Mark Sanchez"
11227,n,Sit,9,"Robert Griffin III"
11228,n,Sit,9,"Michael Vick"
11229,n,Sit,9,"Teddy Bridgewater"
11230,n,Sit,9,"Ryan Fitzpatrick"
11231,n,Sit,9,"Mike Glennon"
11232,n,Start,9,"Travis Kelce"
11233,n,Start,9,"Greg Olsen"
11234,n,Start,9,"Larry Donnell"
11235,n,Start,9,"Antonio Gates"
11236,n,Start,9,"Alex Smith"
11237,n,Sit,9,"Mychal Rivera"
11238,n,Sit,9,"Vernon Davis"
11239,n,Sit,9,"Jermaine Gresham"
11240,n,Sit,9,"Jared Cook"
11241,n,Sit,9,"Jacob Tamme"
11242,n,Sit,9,"Coby Fleener"
11243,n,Start,9,"Ronnie Hillman"
11244,n,Start,9,"Lamar Miller"
11245,n,Start,9,"Andre Ellington"
11246,n,Start,9,"Mark Ingram"
11247,n,Start,9,"Ahmad Bradshaw"
11248,n,Sit,9,"Latavius Murray"
11249,n,Sit,9,"C.J. Anderson"
11250,n,Sit,9,"Chris Johnson"
11251,n,Sit,9,"Jonas Gray"
11252,n,Sit,9,"Charles Clay"
11253,n,Sit,9,"LeGarrette Blount"
11254,n,Start,9,"Kelvin Benjamin"
11255,n,Start,9,"DeSean Jackson"
11256,n,Start,9,"Emmanuel Sanders"
11257,n,Start,9,"Jeremy Maclin"
11258,n,Start,9,"T.Y. Hilton"
11259,n,Sit,9,"Percy Harvin"
11260,n,Sit,9,"Kenny Britt"
11261,n,Sit,9,"Keenan Allen"
11262,n,Sit,9,"Kenny Stills"
11263,n,Sit,9,"Dwayne Bowe"
11264,n,Sit,9,"Julian Edelman"
11265,n,Start,10,"Drew Brees"
11266,n,Start,10,"Carson Palmer"
11267,n,Start,10,"Russell Wilson"
11268,n,Start,10,"Jay Cutler"
11269,n,Start,10,"Ben Roethlisberger"
11270,n,Sit,10,"Michael Vick"
11271,n,Sit,10,"Matthew Stafford"
11272,n,Sit,10,"Alex Smith"
11273,n,Sit,10,"Mark Sanchez"
11274,n,Sit,10,"Cam Newton"
11275,n,Sit,10,"Ryan Tannehill"
11276,n,Start,10,"Delanie Walker"
11277,n,Start,10,"Travis Kelce"
11278,n,Start,10,"Martellus Bennett"
11279,n,Start,10,"Larry Donnell"
11280,n,Start,10,"Alex Smith"
11281,n,Sit,10,"Jared Cook"
11282,n,Sit,10,"Jermaine Gresham"
11283,n,Sit,10,"Scott Chandler"
11284,n,Sit,10,"Jason Witten"
11285,n,Sit,10,"Jace Amaro"
11286,n,Sit,10,"Mychal Rivera"
11287,n,Start,10,"Lamar Miller"
11288,n,Start,10,"Eddie Lacy"
11289,n,Start,10,"Ronnie Hillman"
11290,n,Start,10,"Andre Ellington"
11291,n,Start,10,"Mark Ingram"
11292,n,Sit,10,"C.J. Anderson"
11293,n,Sit,10,"Charles Clay"
11294,n,Sit,10,"Bishop Sankey"
11295,n,Sit,10,"Reggie Bush"
11296,n,Sit,10,"Andre Williams"
11297,n,Sit,10,"Chris Johnson"
11298,n,Start,10,"Golden Tate"
11299,n,Start,10,"Mike Evans"
11300,n,Start,10,"Emmanuel Sanders"
11301,n,Start,10,"Randall Cobb"
11302,n,Start,10,"Jeremy Maclin"
11303,n,Sit,10,"Dwayne Bowe"
11304,n,Sit,10,"Rueben Randle"
11305,n,Sit,10,"Kenny Stills"
11306,n,Sit,10,"Kenny Britt"
11307,n,Sit,10,"Marques Colston"
11308,n,Sit,10,"Wes Welker"
11309,n,Start,11,"Eli Manning"
11310,n,Start,11,"Jay Cutler"
11311,n,Start,11,"Drew Brees"
11312,n,Start,11,"Ben Roethlisberger"
11313,n,Start,11,"Philip Rivers"
11314,n,Sit,11,"Robert Griffin III"
11315,n,Sit,11,"Teddy Bridgewater"
11316,n,Sit,11,"Andy Dalton"
11317,n,Sit,11,"Alex Smith"
11318,n,Sit,11,"Matthew Stafford"
11319,n,Sit,11,"Matt Ryan"
11320,n,Start,11,"Greg Olsen"
11321,n,Start,11,"Martellus Bennett"
11322,n,Start,11,"Larry Donnell"
11323,n,Start,11,"Antonio Gates"
11324,n,Start,11,"Alex Smith"
11325,n,Sit,11,"Jermaine Gresham"
11326,n,Sit,11,"Jacob Tamme"
11327,n,Sit,11,"Zach Ertz"
11328,n,Sit,11,"Heath Miller"
11329,n,Sit,11,"Mychal Rivera"
11330,n,Sit,11,"Jordan Reed"
11331,n,Start,11,"Rashad Jennings"
11332,n,Start,11,"Alfred Morris"
11333,n,Start,11,"Eddie Lacy"
11334,n,Start,11,"Andre Ellington"
11335,n,Start,11,"Mark Ingram"
11336,n,Sit,11,"Latavius Murray"
11337,n,Sit,11,"Jonas Gray"
11338,n,Sit,11,"Charles Clay"
11339,n,Sit,11,"Ryan Mathews"
11340,n,Sit,11,"Bishop Sankey"
11341,n,Sit,11,"Tre Mason"
11342,n,Start,11,"T.Y. Hilton"
11343,n,Start,11,"Jeremy Maclin"
11344,n,Start,11,"Emmanuel Sanders"
11345,n,Start,11,"DeSean Jackson"
11346,n,Start,11,"Randall Cobb"
11347,n,Sit,11,"Doug Baldwin"
11348,n,Sit,11,"Wes Welker"
11349,n,Sit,11,"Michael Floyd"
11350,n,Sit,11,"Cordarrelle Patterson"
11351,n,Sit,11,"Dwayne Bowe"
11352,n,Sit,11,"Kenny Britt"
11353,n,Start,12,"Mark Sanchez"
11354,n,Start,12,"Russell Wilson"
11355,n,Start,12,"Drew Brees"
11356,n,Start,12,"Jay Cutler"
11357,n,Start,12,"Philip Rivers"
11358,n,Sit,12,"Robert Griffin III"
11359,n,Sit,12,"Michael Vick"
11360,n,Sit,12,"Teddy Bridgewater"
11361,n,Sit,12,"Geno Smith"
11362,n,Sit,12,"Matthew Stafford"
11363,n,Sit,12,"Alex Smith"
11364,n,Start,12,"Coby Fleener"
11365,n,Start,12,"Martellus Bennett"
11366,n,Start,12,"Larry Donnell"
11367,n,Start,12,"Antonio Gates"
11368,n,Start,12,"Alex Smith"
11369,n,Sit,12,"Vernon Davis"
11370,n,Sit,12,"Jermaine Gresham"
11371,n,Sit,12,"Kyle Rudolph"
11372,n,Sit,12,"Jared Cook"
11373,n,Sit,12,"Scott Chandler"
11374,n,Sit,12,"Zach Ertz"
11375,n,Start,12,"Rashad Jennings"
11376,n,Start,12,"Justin Forsett"
11377,n,Start,12,"Andre Ellington"
11378,n,Start,12,"Eddie Lacy"
11379,n,Start,12,"Mark Ingram"
11380,n,Sit,12,"Latavius Murray"
11381,n,Sit,12,"Chris Johnson"
11382,n,Sit,12,"LeGarrette Blount"
11383,n,Sit,12,"Doug Martin"
11384,n,Sit,12,"Bishop Sankey"
11385,n,Sit,12,"Ryan Mathews"
11386,n,Start,12,"T.Y. Hilton"
11387,n,Start,12,"Randall Cobb"
11388,n,Start,12,"Emmanuel Sanders"
11389,n,Start,12,"Mike Evans"
11390,n,Start,12,"Jeremy Maclin"
11391,n,Sit,12,"Josh Gordon"
11392,n,Sit,12,"Wes Welker"
11393,n,Sit,12,"Dwayne Bowe"
11394,n,Sit,12,"Marques Colston"
11395,n,Sit,12,"Kenny Stills"
11396,n,Sit,12,"Cordarrelle Patterson"
11397,n,Start,13,"Eli Manning"
11398,n,Start,13,"Philip Rivers"
11399,n,Start,13,"Drew Brees"
11400,n,Start,13,"Tony Romo"
11401,n,Start,13,"Ben Roethlisberger"
11402,n,Sit,13,"Johnny Manziel"
11403,n,Sit,13,"Geno Smith"
11404,n,Sit,13,"Teddy Bridgewater"
11405,n,Sit,13,"Alex Smith"
11406,n,Sit,13,"Matthew Stafford"
11407,n,Sit,13,"Ryan Fitzpatrick"
11408,n,Start,13,"Greg Olsen"
11409,n,Start,13,"Travis Kelce"
11410,n,Start,13,"Larry Donnell"
11411,n,Start,13,"Antonio Gates"
11412,n,Start,13,"Alex Smith"
11413,n,Sit,13,"Vernon Davis"
11414,n,Sit,13,"Jordan Reed"
11415,n,Sit,13,"Jermaine Gresham"
11416,n,Sit,13,"Kyle Rudolph"
11417,n,Sit,13,"Mychal Rivera"
11418,n,Sit,13,"Heath Miller"
11419,n,Start,13,"C.J. Anderson"
11420,n,Start,13,"Mark Ingram"
11421,n,Start,13,"Andre Ellington"
11422,n,Start,13,"Justin Forsett"
11423,n,Start,13,"Eddie Lacy"
11424,n,Sit,13,"Chris Johnson"
11425,n,Sit,13,"Doug Martin"
11426,n,Sit,13,"Bishop Sankey"
11427,n,Sit,13,"Darren McFadden"
11428,n,Sit,13,"LeGarrette Blount"
11429,n,Sit,13,"Pierre Thomas"
11430,n,Start,13,"T.Y. Hilton"
11431,n,Start,13,"Odell Beckham"
11432,n,Start,13,"Emmanuel Sanders"
11433,n,Start,13,"Randall Cobb"
11434,n,Start,13,"Mike Evans"
11435,n,Sit,13,"Wes Welker"
11436,n,Sit,13,"Doug Baldwin"
11437,n,Sit,13,"Dwayne Bowe"
11438,n,Sit,13,"Kenny Stills"
11439,n,Sit,13,"Marques Colston"
11440,n,Sit,13,"Keenan Allen"
11441,n,Start,14,"Tony Romo"
11442,n,Start,14,"Jay Cutler"
11443,n,Start,14,"Ben Roethlisberger"
11444,n,Start,14,"Philip Rivers"
11445,n,Start,14,"Drew Brees"
11446,n,Sit,14,"Robert Griffin III"
11447,n,Sit,14,"Geno Smith"
11448,n,Sit,14,"Teddy Bridgewater"
11449,n,Sit,14,"Josh McCown"
11450,n,Sit,14,"Alex Smith"
11451,n,Sit,14,"Joe Flacco"
11452,n,Start,14,"Martellus Bennett"
11453,n,Start,14,"Larry Donnell"
11454,n,Start,14,"Delanie Walker"
11455,n,Start,14,"Antonio Gates"
11456,n,Start,14,"Alex Smith"
11457,n,Sit,14,"Vernon Davis"
11458,n,Sit,14,"Jared Cook"
11459,n,Sit,14,"Scott Chandler"
11460,n,Sit,14,"Jermaine Gresham"
11461,n,Sit,14,"Zach Ertz"
11462,n,Sit,14,"Heath Miller"
11463,n,Start,14,"Justin Forsett"
11464,n,Start,14,"Rashad Jennings"
11465,n,Start,14,"Mark Ingram"
11466,n,Start,14,"C.J. Anderson"
11467,n,Start,14,"Eddie Lacy"
11468,n,Sit,14,"Charles Clay"
11469,n,Sit,14,"Doug Martin"
11470,n,Sit,14,"Chris Johnson"
11471,n,Sit,14,"Reggie Bush"
11472,n,Sit,14,"LeGarrette Blount"
11473,n,Sit,14,"Trent Richardson"
11474,n,Start,14,"Alshon Jeffery"
11475,n,Start,14,"Jeremy Maclin"
11476,n,Start,14,"Odell Beckham"
11477,n,Start,14,"Emmanuel Sanders"
11478,n,Start,14,"Randall Cobb"
11479,n,Sit,14,"Dwayne Bowe"
11480,n,Sit,14,"Wes Welker"
11481,n,Sit,14,"Doug Baldwin"
11482,n,Sit,14,"Vincent Jackson"
11483,n,Sit,14,"Percy Harvin"
11484,n,Sit,14,"Kenny Britt"
11485,n,Start,15,"Russell Wilson"
11486,n,Start,15,"Philip Rivers"
11487,n,Start,15,"Jay Cutler"
11488,n,Start,15,"Drew Brees"
11489,n,Start,15,"Ben Roethlisberger"
11490,n,Sit,15,"Robert Griffin III"
11491,n,Sit,15,"Teddy Bridgewater"
11492,n,Sit,15,"Geno Smith"
11493,n,Sit,15,"Colin Kaepernick"
